	(GLCT)	(HK)	(GPI)	(PFK)	(ALD)	(TPI)	(GAPDH)	(PGK)	(PGM)	(ENO)	(PK)	(LDH)	(LACT)	(OxPhos)	(ATPase)	(AK)	(OXYT)	'Summation Error'
(GLCT)	-0.00363097	-0.00574612	0.000716943	0.0144959	0.00888086	0.00757769	0.220841	0.0386718	0.0228444	0.00862039	0.133942	0.0736116	0.307374	-0.125669	0.310534	1.94089e-15	-0.0130653	2.86016e-14
(HK)	-0.00363097	-0.00574612	0.000716943	0.0144959	0.00888086	0.00757769	0.220841	0.0386718	0.0228444	0.00862039	0.133942	0.0736116	0.307374	-0.125669	0.310534	1.94089e-15	-0.0130653	1.57309e-14
(GPI)	-0.00363097	-0.00574612	0.000716943	0.0144959	0.00888086	0.00757769	0.220841	0.0386718	0.0228444	0.00862039	0.133942	0.0736116	0.307374	-0.125669	0.310534	1.94089e-15	-0.0130653	5.77753e-13
(PFK)	-0.00363097	-0.00574612	0.000716943	0.0144959	0.00888086	0.00757769	0.220841	0.0386718	0.0228444	0.00862039	0.133942	0.0736116	0.307374	-0.125669	0.310534	1.94089e-15	-0.0130653	4.65277e-12
(ALD)	-0.00363097	-0.00574612	0.000716943	0.0144959	0.00888086	0.00757769	0.220841	0.0386718	0.0228444	0.00862039	0.133942	0.0736116	0.307374	-0.125669	0.310534	1.94089e-15	-0.0130653	1.57309e-13
(TPI)	-0.00363097	-0.00574612	0.000716943	0.0144959	0.00888086	0.00757769	0.220841	0.0386718	0.0228444	0.00862039	0.133942	0.0736116	0.307374	-0.125669	0.310534	1.94089e-15	-0.0130653	3.25343e-13
(GAPDH)	-0.00363097	-0.00574612	0.000716943	0.0144959	0.00888086	0.00757769	0.220841	0.0386718	0.0228444	0.00862039	0.133942	0.0736116	0.307374	-0.125669	0.310534	1.94089e-15	-0.0130653	4.61201e-14
(PGK)	-0.00363097	-0.00574612	0.000716943	0.0144959	0.00888086	0.00757769	0.220841	0.0386718	0.0228444	0.00862039	0.133942	0.0736116	0.307374	-0.125669	0.310534	1.94089e-15	-0.0130653	8.11571e-14
(PGM)	-0.00363097	-0.00574612	0.000716943	0.0144959	0.00888086	0.00757769	0.220841	0.0386718	0.0228444	0.00862039	0.133942	0.0736116	0.307374	-0.125669	0.310534	1.94089e-15	-0.0130653	4.82652e-14
(ENO)	-0.00363097	-0.00574612	0.000716943	0.0144959	0.00888086	0.00757769	0.220841	0.0386718	0.0228444	0.00862039	0.133942	0.0736116	0.307374	-0.125669	0.310534	1.94089e-15	-0.0130653	7.70814e-13
(PK)	-0.00363097	-0.00574612	0.000716943	0.0144959	0.00888086	0.00757769	0.220841	0.0386718	0.0228444	0.00862039	0.133942	0.0736116	0.307374	-0.125669	0.310534	1.94089e-15	-0.0130653	1.11904e-13
(LDH)	-0.0122758	-0.0194268	0.000188818	0.00796216	0.0100018	0.00854178	0.248831	0.0436694	0.0258733	0.00976397	0.151755	0.0829441	0.346343	-0.220633	0.3394	1.06775e-15	-0.0229384	7.05224e-15
(LACT)	-0.0122758	-0.0194268	0.000188818	0.00796216	0.0100018	0.00854178	0.248831	0.0436694	0.0258733	0.00976397	0.151755	0.0829441	0.346343	-0.220633	0.3394	1.06775e-15	-0.0229384	1.50661e-14
(OxPhos)	0.0891834	0.141135	0.00638711	0.0846453	-0.0031538	-0.00277315	-0.079667	-0.0149843	-0.0096747	-0.00365758	-0.0573009	-0.0265856	-0.111011	0.8939	0.000621791	1.13153e-14	0.0929354	5.94918e-14
(ATPase)	0.048441	0.0766593	0.0038981	0.053852	0.00212902	0.00177053	0.0522464	0.00856898	0.00460014	0.00173204	0.0266486	0.0173977	0.072646	0.446342	0.136663	7.20023e-15	0.0464045	5.91996e-14
(AK)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
(OXYT)	0.0891834	0.141135	0.00638711	0.0846453	-0.0031538	-0.00277315	-0.079667	-0.0149843	-0.0096747	-0.00365758	-0.0573009	-0.0265856	-0.111011	0.8939	0.000621791	1.13153e-14	0.0929354	5.80014e-14
