	(GLCT)	(HK)	(GPI)	(PFK)	(ALD)	(TPI)	(GAPDH)	(PGK)	(PGM)	(ENO)	(PK)	(LDH)	(LACT)	(OxPhos)	(ATPase)	(OXYT)	(Growth)	(AK)	'Summation Error'
(GLCT)	0.0842746	0.11475	0.0128577	0.114008	0.00768772	0.0090286	0.160353	0.0366055	0.0172743	0.0064172	0.141355	0.048048	0.232344	0.0757236	-0.0283061	-0.00503435	-0.0273877	1.47272e-06	5.29919e-13
(HK)	0.0842746	0.11475	0.0128577	0.114008	0.00768772	0.0090286	0.160353	0.0366055	0.0172743	0.0064172	0.141355	0.048048	0.232344	0.0757236	-0.0283061	-0.00503435	-0.0273877	1.47272e-06	5.32786e-13
(GPI)	0.0814741	0.110937	0.012673	0.113945	0.00744579	0.00897342	0.159466	0.0381187	0.0176904	0.00656553	0.143953	0.0495781	0.239744	0.0676999	-0.0226949	-0.00630586	-0.0292643	1.47167e-06	5.17267e-13
(PFK)	0.0803288	0.109377	0.0125974	0.11392	0.00734685	0.00895085	0.159103	0.0387376	0.0178605	0.00662619	0.145015	0.0502039	0.242771	0.0644183	-0.0204001	-0.00682588	-0.0300317	1.47124e-06	3.93929e-12
(ALD)	0.0802986	0.109336	0.0125954	0.113919	0.00734424	0.00895025	0.159094	0.0387538	0.017865	0.00662779	0.145043	0.0502204	0.242851	0.064332	-0.0203397	-0.00683955	-0.0300519	1.47123e-06	5.16137e-13
(TPI)	0.0789183	0.107457	0.0125044	0.113888	0.00722501	0.00892306	0.158656	0.0394997	0.0180701	0.00670089	0.146323	0.0509746	0.246498	0.0603774	-0.0175742	-0.00746624	-0.0309768	1.47071e-06	4.9679e-13
(GAPDH)	0.0793637	0.108063	0.0125337	0.113898	0.00726348	0.00893183	0.158797	0.039259	0.0180039	0.0066773	0.14591	0.0507312	0.245321	0.0616534	-0.0184665	-0.00726403	-0.0306784	1.47088e-06	5.00078e-13
(PGK)	0.0793612	0.10806	0.0125336	0.113898	0.00726327	0.00893178	0.158797	0.0392604	0.0180043	0.00667743	0.145913	0.0507326	0.245328	0.0616463	-0.0184616	-0.00726516	-0.03068	1.47088e-06	5.56633e-13
(PGM)	0.0776412	0.105718	0.0124201	0.11386	0.00711468	0.00889789	0.158252	0.0401897	0.0182598	0.00676853	0.147508	0.0516724	0.249873	0.0567183	-0.0150153	-0.00804609	-0.0318326	1.47023e-06	4.94968e-13
(ENO)	0.0776412	0.105718	0.0124201	0.11386	0.00711468	0.00889789	0.158252	0.0401897	0.0182598	0.00676853	0.147508	0.0516724	0.249873	0.0567183	-0.0150153	-0.00804609	-0.0318326	1.47023e-06	4.99855e-13
(PK)	0.0776412	0.105718	0.0124201	0.11386	0.00711468	0.00889789	0.158252	0.0401897	0.0182598	0.00676853	0.147508	0.0516724	0.249873	0.0567183	-0.0150153	-0.00804609	-0.0318326	1.47023e-06	4.94523e-13
(LDH)	0.0719851	0.0980164	0.0123611	0.118811	0.00539726	0.00805702	0.143753	0.0458353	0.0216365	0.00802366	0.175233	0.0651932	0.315259	-0.0356686	0.00333808	-0.0175068	-0.0397262	1.53273e-06	4.08508e-13
(LACT)	0.0719851	0.0980164	0.0123611	0.118811	0.00539726	0.00805702	0.143753	0.0458353	0.0216365	0.00802366	0.175233	0.0651932	0.315259	-0.0356686	0.00333808	-0.0175068	-0.0397262	1.53273e-06	4.09916e-13
(OxPhos)	0.020528	0.0279512	0.00445859	0.0447959	0.0185869	0.0175112	0.309824	0.0364788	-0.00711733	-0.00296431	-0.0996345	-0.0563797	-0.272662	0.910204	0.00568343	0.0580487	-0.0153133	5.8622e-07	5.34251e-14
(ATPase)	-0.442283	-0.602221	-0.0292797	-0.0173474	-0.00885416	0.0158352	0.292917	0.26013	0.0357632	0.011797	0.100272	0.0900556	0.435533	0.361638	0.861337	-0.0817412	-0.283551	-2.46457e-07	2.24278e-14
(OXYT)	0.0315973	0.0430233	0.00540019	0.048459	0.0187164	0.0172385	0.30478	0.0322398	-0.00705558	-0.00290771	-0.0947789	-0.0554105	-0.267975	0.890664	-0.0117718	0.0584372	-0.010657	6.33834e-07	5.87107e-14
(Growth)	0.240194	0.327053	0.0231442	0.117488	0.0211572	0.012101	0.209737	-0.0476442	-0.00589191	-0.00184105	-0.00327545	-0.0371454	-0.179662	0.522447	-0.34071	0.0657575	0.0770892	1.53111e-06	2.65418e-13
(AK)	0.240194	0.327053	0.0231442	0.117488	0.0211572	0.012101	0.209737	-0.0476442	-0.00589191	-0.00184105	-0.00327545	-0.0371454	-0.179662	0.522447	-0.34071	0.0657575	0.0770892	1.53111e-06	8.3559e-10

