[GLUe]_0	Values[Vf_GROWTH].InitialValue	(Growth).Flux
0.5	0	0
0.5	4	7.635e-07
0.5	8	1.52642e-06
0.5	12	2.28877e-06
0.5	16	3.05055e-06
0.5	20	3.81175e-06
0.5	24	4.57238e-06
0.5	28	5.33244e-06
0.5	32	6.09193e-06
0.5	36	6.85086e-06
0.5	40	7.60921e-06
0.5	44	8.36699e-06
0.5	48	9.12421e-06
0.5	52	9.88087e-06
0.5	56	1.0637e-05
0.5	60	1.13925e-05
0.5	64	1.21474e-05
0.5	68	1.29019e-05
0.5	72	1.36557e-05
0.5	76	1.4409e-05
0.5	80	1.51617e-05
0.5	84	1.59139e-05
0.5	88	1.66655e-05
0.5	92	1.74165e-05
0.5	96	1.8167e-05
0.5	100	1.8917e-05
0.5	104	1.96664e-05
0.5	108	2.04152e-05
0.5	112	2.11635e-05
0.5	116	2.19112e-05
0.5	120	2.26584e-05
0.5	124	2.34051e-05
0.5	128	2.41512e-05
0.5	132	2.48967e-05
0.5	136	2.56417e-05
0.5	140	2.63862e-05
0.5	144	2.71301e-05
0.5	148	2.78735e-05
0.5	152	2.86163e-05
0.5	156	2.93586e-05
0.5	160	3.01003e-05
0.5	164	3.08415e-05
0.5	168	3.15822e-05
0.5	172	3.23223e-05
0.5	176	3.30619e-05
0.5	180	3.3801e-05
0.5	184	3.45395e-05
0.5	188	3.52775e-05
0.5	192	3.60149e-05
0.5	196	3.67519e-05
0.5	200	3.74882e-05
0.5	204	3.82241e-05
0.5	208	3.89594e-05
0.5	212	3.96942e-05
0.5	216	4.04285e-05
0.5	220	4.11623e-05
0.5	224	4.18955e-05
0.5	228	4.26282e-05
0.5	232	4.33603e-05
0.5	236	4.4092e-05
0.5	240	4.48231e-05
0.5	244	4.55537e-05
0.5	248	4.62838e-05
0.5	252	4.70133e-05
0.5	256	4.77424e-05
0.5	260	4.84709e-05
0.5	264	4.91989e-05
0.5	268	4.99264e-05
0.5	272	5.06534e-05
0.5	276	5.13798e-05
0.5	280	5.21058e-05
0.5	284	5.28312e-05
0.5	288	5.35561e-05
0.5	292	5.42805e-05
0.5	296	5.50044e-05
0.5	300	5.57277e-05
0.5	304	5.64506e-05
0.5	308	5.7173e-05
0.5	312	5.78948e-05
0.5	316	5.86162e-05
0.5	320	5.9337e-05
0.5	324	6.00573e-05
0.5	328	6.07772e-05
0.5	332	6.14965e-05
0.5	336	6.22153e-05
0.5	340	6.29336e-05
0.5	344	6.36514e-05
0.5	348	6.43687e-05
0.5	352	6.50855e-05
0.5	356	6.58019e-05
0.5	360	6.65177e-05
0.5	364	6.7233e-05
0.5	368	6.79478e-05
0.5	372	6.86621e-05
0.5	376	6.9376e-05
0.5	380	7.00893e-05
0.5	384	7.08021e-05
0.5	388	7.15145e-05
0.5	392	7.22263e-05
0.5	396	7.29377e-05
0.5	400	7.36486e-05

5	0	0
5	4	0.00390942
5	8	0.00571615
5	12	0.00679608
5	16	0.00753625
5	20	0.00808536
5	24	0.00851419
5	28	0.00886133
5	32	0.00914994
5	36	0.00939485
5	40	0.00960607
5	44	0.00979068
5	48	0.0099538
5	52	0.0100993
5	56	0.01023
5	60	0.0103484
5	64	0.0104561
5	68	0.0105548
5	72	0.0106455
5	76	0.0107292
5	80	0.0108068
5	84	0.010879
5	88	0.0109464
5	92	0.0110094
5	96	0.0110685
5	100	0.0111241
5	104	0.0111764
5	108	0.0112258
5	112	0.0112726
5	116	0.0113169
5	120	0.011359
5	124	0.0113989
5	128	0.011437
5	132	0.0114733
5	136	0.0115079
5	140	0.011541
5	144	0.0115726
5	148	0.0116029
5	152	0.011632
5	156	0.0116599
5	160	0.0116867
5	164	0.0117124
5	168	0.0117372
5	172	0.011761
5	176	0.011784
5	180	0.0118062
5	184	0.0118276
5	188	0.0118482
5	192	0.0118682
5	196	0.0118875
5	200	0.0119061
5	204	0.0119242
5	208	0.0119417
5	212	0.0119586
5	216	0.0119751
5	220	0.011991
5	224	0.0120065
5	228	0.0120215
5	232	0.0120361
5	236	0.0120502
5	240	0.012064
5	244	0.0120774
5	248	0.0120904
5	252	0.0121031
5	256	0.0121154
5	260	0.0121274
5	264	0.0121391
5	268	0.0121505
5	272	0.0121616
5	276	0.0121725
5	280	0.012183
5	284	0.0121933
5	288	0.0122034
5	292	0.0122132
5	296	0.0122228
5	300	0.0122322
5	304	0.0122413
5	308	0.0122503
5	312	0.012259
5	316	0.0122675
5	320	0.0122759
5	324	0.0122841
5	328	0.0122921
5	332	0.0122999
5	336	0.0123075
