[GLUe]_0	(Growth).Flux
0.025	4.9914e-14	
0.05	6.61642e-12	
0.075	1.39494e-10	
0.1	1.12507e-09	
0.125	5.23674e-09	
0.15	1.75901e-08	
0.175	4.79037e-08	
0.2	1.1281e-07	
0.225	2.38774e-07	
0.25	4.65698e-07	
0.275	8.51243e-07	
0.3	1.47595e-06	
0.325	2.44914e-06	
0.35	3.91555e-06	
0.375	6.06262e-06	
0.4	9.12813e-06	
0.425	1.34077e-05	
0.45	1.92619e-05	
0.475	2.71211e-05	
0.5	3.74882e-05	
0.525	5.09373e-05	
0.55	6.8106e-05	
0.575	8.96819e-05	
0.6	0.000116381	
0.625	0.00014892	
0.65	0.000187981	
0.675	0.000234176	
0.7	0.00028801	
0.725	0.000349854	
0.75	0.000419916	
0.775	0.000498243	
0.8	0.000584713	
0.825	0.000679055	
0.85	0.000780868	
0.875	0.00088965	
0.9	0.00100482	
0.925	0.00112577	
0.95	0.00125184	
0.975	0.00138239	
1	0.00151679	
1.025	0.00165443	
1.05	0.00179475	
1.075	0.00193721	
1.1	0.00208132	
1.125	0.00222665	
1.15	0.00237277	
1.175	0.00251934	
1.2	0.00266602	
1.225	0.00281252	
1.25	0.00295859	
1.275	0.003104	
1.3	0.00324855	
1.325	0.00339207	
1.35	0.0035344	
1.375	0.00367542	
1.4	0.003815	
1.425	0.00395306	
1.45	0.00408951	
1.475	0.00422429	
1.5	0.00435733	
1.525	0.00448859	
1.55	0.00461803	
1.575	0.00474562	
1.6	0.00487135	
1.625	0.00499519	
1.65	0.00511714	
1.675	0.0052372	
1.7	0.00535536	
1.725	0.00547163	
1.75	0.00558601	
1.775	0.00569853	
1.8	0.00580918	
1.825	0.005918	
1.85	0.00602499	
1.875	0.00613019	
1.9	0.0062336	
1.925	0.00633525	
1.95	0.00643518	
1.975	0.00653339	
2	0.00662992	
2.025	0.0067248	
2.05	0.00681805	
2.075	0.00690969	
2.1	0.00699977	
2.125	0.00708829	
2.15	0.0071753	
2.175	0.00726082	
2.2	0.00734488	
2.225	0.0074275	
2.25	0.00750872	
2.275	0.00758856	
2.3	0.00766705	
2.325	0.00774421	
2.35	0.00782007	
2.375	0.00789466	
2.4	0.007968	
2.425	0.00804012	
2.45	0.00811105	
2.475	0.0081808	
2.5	0.00824941	
2.525	0.0083169	
2.55	0.00838328	
2.575	0.00844859	
2.6	0.00851284	
2.625	0.00857607	
2.65	0.00863828	
2.675	0.0086995	
2.7	0.00875976	
2.725	0.00881907	
2.75	0.00887745	
2.775	0.00893492	
2.8	0.0089915	
2.825	0.00904721	
2.85	0.00910207	
2.875	0.0091561	
2.9	0.00920931	
2.925	0.00926172	
2.95	0.00931334	
2.975	0.0093642	
3	0.00941431	
3.025	0.00946368	
3.05	0.00951233	
3.075	0.00956028	
3.1	0.00960753	
3.125	0.00965411	
3.15	0.00970003	
3.175	0.00974529	
3.2	0.00978992	
3.225	0.00983393	
3.25	0.00987732	
3.275	0.00992012	
3.3	0.00996233	
3.325	0.010004	
3.35	0.010045	
3.375	0.0100855	
3.4	0.0101255	
3.425	0.010165	
3.45	0.0102039	
3.475	0.0102423	
3.5	0.0102802	
3.525	0.0103176	
3.55	0.0103546	
3.575	0.010391	
3.6	0.010427	
3.625	0.0104626	
3.65	0.0104977	
3.675	0.0105323	
3.7	0.0105666	
3.725	0.0106004	
3.75	0.0106338	
3.775	0.0106668	
3.8	0.0106994	
3.825	0.0107315	
3.85	0.0107634	
3.875	0.0107948	
3.9	0.0108259	
3.925	0.0108566	
3.95	0.0108869	
3.975	0.0109169	
4	0.0109465	
4.025	0.0109758	
4.05	0.0110048	
4.075	0.0110335	
4.1	0.0110618	
4.125	0.0110898	
4.15	0.0111175	
4.175	0.0111449	
4.2	0.011172	
4.225	0.0111988	
4.25	0.0112253	
4.275	0.0112515	
4.3	0.0112774	
4.325	0.0113031	
4.35	0.0113285	
4.375	0.0113536	
4.4	0.0113785	
4.425	0.0114031	
4.45	0.0114274	
4.475	0.0114515	
4.5	0.0114754	
4.525	0.011499	
4.55	0.0115223	
4.575	0.0115455	
4.6	0.0115684	
4.625	0.0115911	
4.65	0.0116135	
4.675	0.0116357	
4.7	0.0116578	
4.725	0.0116796	
4.75	0.0117011	
4.775	0.0117225	
4.8	0.0117437	
4.825	0.0117647	
4.85	0.0117855	
4.875	0.011806	
4.9	0.0118264	
4.925	0.0118466	
4.95	0.0118667	
4.975	0.0118865	
5	0.0119061	
5.025	0.0119256	
5.05	0.0119449	
5.075	0.011964	
5.1	0.011983	
5.125	0.0120018	
5.15	0.0120204	
5.175	0.0120388	
5.2	0.0120571	
5.225	0.0120752	
5.25	0.0120932	
5.275	0.012111	
5.3	0.0121287	
5.325	0.0121462	
5.35	0.0121636	
5.375	0.0121808	
5.4	0.0121979	
5.425	0.0122148	
5.45	0.0122316	
5.475	0.0122483	
5.5	0.0122648	
5.525	0.0122811	
5.55	0.0122974	
5.575	0.0123135	
5.6	0.0123295	
5.625	0.0123453	
5.65	0.0123611	
5.675	0.0123767	
5.7	0.0123922	
5.725	0.0124075	
5.75	0.0124228	
5.775	0.0124379	
5.8	0.0124529	
5.825	0.0124678	
5.85	0.0124825	
5.875	0.0124972	
5.9	0.0125117	
5.925	0.0125262	
5.95	0.0125405	
5.975	0.0125547	
6	0.0125688	
6.025	0.0125828	
6.05	0.0125967	
6.075	0.0126105	
6.1	0.0126242	
6.125	0.0126378	
6.15	0.0126513	
6.175	0.0126647	
6.2	0.0126781	
6.225	0.0126913	
6.25	0.0127044	
6.275	0.0127174	
6.3	0.0127303	
6.325	0.0127432	
6.35	0.0127559	
6.375	0.0127686	
6.4	0.0127812	
6.425	0.0127936	
6.45	0.012806	
6.475	0.0128184	
6.5	0.0128306	
6.525	0.0128427	
6.55	0.0128548	
6.575	0.0128668	
6.6	0.0128787	
6.625	0.0128905	
6.65	0.0129023	
6.675	0.0129139	
6.7	0.0129255	
6.725	0.012937	
6.75	0.0129485	
6.775	0.0129598	
6.8	0.0129711	
6.825	0.0129823	
6.85	0.0129935	
6.875	0.0130046	
6.9	0.0130156	
6.925	0.0130265	
6.95	0.0130374	
6.975	0.0130482	
7	0.0130589	
7.025	0.0130696	
7.05	0.0130801	
7.075	0.0130907	
7.1	0.0131011	
7.125	0.0131115	
7.15	0.0131219	
7.175	0.0131321	
7.2	0.0131424	
7.225	0.0131525	
7.25	0.0131626	
7.275	0.0131726	
7.3	0.0131826	
7.325	0.0131925	
7.35	0.0132023	
7.375	0.0132121	
7.4	0.0132219	
7.425	0.0132315	
7.45	0.0132412	
7.475	0.0132507	
7.5	0.0132602	
7.525	0.0132697	
7.55	0.0132791	
7.575	0.0132884	
7.6	0.0132977	
7.625	0.0133069	
7.65	0.0133161	
7.675	0.0133253	
7.7	0.0133343	
7.725	0.0133434	
7.75	0.0133523	
7.775	0.0133613	
7.8	0.0133702	
7.825	0.013379	
