Values[Vf_GLUT].InitialValue	(Growth).Flux
0.15	7.33507e-19	
0.3	3.65813e-17	
0.45	3.90956e-16	
0.6	2.21124e-15	
0.75	8.82616e-15	
0.9	2.82805e-14	
1.05	7.78991e-14	
1.2	1.92069e-13	
1.35	4.34852e-13	
1.5	9.19452e-13	
1.65	1.83676e-12	
1.8	3.4952e-12	
1.95	6.37343e-12	
2.1	1.11868e-11	
2.25	1.89667e-11	
2.4	3.11521e-11	
2.55	4.96907e-11	
2.7	7.7148e-11	
2.85	1.16824e-10	
3	1.72876e-10	
3.15	2.50454e-10	
3.3	3.55838e-10	
3.45	4.96595e-10	
3.6	6.81743e-10	
3.75	9.21935e-10	
3.9	1.22966e-09	
4.05	1.61944e-09	
4.2	2.1081e-09	
4.35	2.71498e-09	
4.5	3.46224e-09	
4.65	4.37514e-09	
4.8	5.48236e-09	
4.95	6.81638e-09	
5.1	8.41378e-09	
5.25	1.03157e-08	
5.4	1.25683e-08	
5.55	1.52231e-08	
5.7	1.83375e-08	
5.85	2.19755e-08	
6	2.62079e-08	
6.15	3.11135e-08	
6.3	3.67789e-08	
6.45	4.32999e-08	
6.6	5.0782e-08	
6.75	5.93412e-08	
6.9	6.91046e-08	
7.05	8.02117e-08	
7.2	9.28151e-08	
7.35	1.07081e-07	
7.5	1.23193e-07	
7.65	1.41347e-07	
7.8	1.61761e-07	
7.95	1.84669e-07	
8.1	2.10325e-07	
8.25	2.39007e-07	
8.4	2.71014e-07	
8.55	3.0667e-07	
8.7	3.46328e-07	
8.85	3.90365e-07	
9	4.39193e-07	
9.15	4.93253e-07	
9.3	5.53021e-07	
9.45	6.1901e-07	
9.6	6.91774e-07	
9.75	7.71905e-07	
9.9	8.60042e-07	
10.05	9.56871e-07	
10.2	1.06313e-06	
10.35	1.1796e-06	
10.5	1.30713e-06	
10.65	1.44663e-06	
10.8	1.59906e-06	
10.95	1.76546e-06	
11.1	1.94694e-06	
11.25	2.14469e-06	
11.4	2.35996e-06	
11.55	2.5941e-06	
11.7	2.84856e-06	
11.85	3.12486e-06	
12	3.42464e-06	
12.15	3.74963e-06	
12.3	4.10169e-06	
12.45	4.48278e-06	
12.6	4.895e-06	
12.75	5.34055e-06	
12.9	5.82181e-06	
13.05	6.34128e-06	
13.2	6.9016e-06	
13.35	7.5056e-06	
13.5	8.15624e-06	
13.65	8.85669e-06	
13.8	9.61028e-06	
13.95	1.04205e-05	
14.1	1.12912e-05	
14.25	1.22262e-05	
14.4	1.32297e-05	
14.55	1.43061e-05	
14.7	1.546e-05	
14.85	1.66963e-05	
15	1.80201e-05	
15.15	1.94369e-05	
15.3	2.09521e-05	
15.45	2.2572e-05	
15.6	2.43026e-05	
15.75	2.61505e-05	
15.9	2.81226e-05	
16.05	3.02262e-05	
16.2	3.24686e-05	
16.35	3.48579e-05	
16.5	3.74021e-05	
16.65	4.01098e-05	
16.8	4.299e-05	
16.95	4.6052e-05	
17.1	4.93053e-05	
17.25	5.27599e-05	
17.4	5.64264e-05	
17.55	6.03153e-05	
17.7	6.44379e-05	
17.85	6.88056e-05	
18	7.34303e-05	
18.15	7.83241e-05	
18.3	8.34996e-05	
18.45	8.89696e-05	
18.6	9.47474e-05	
18.75	0.000100846	
18.9	0.00010728	
19.05	0.000114063	
19.2	0.000121209	
19.35	0.000128733	
19.5	0.00013665	
19.65	0.000144973	
19.8	0.000153718	
19.95	0.000162901	
20.1	0.000172535	
20.25	0.000182636	
20.4	0.000193219	
20.55	0.000204299	
20.7	0.000215889	
20.85	0.000228006	
21	0.000240662	
21.15	0.000253872	
21.3	0.00026765	
21.45	0.000282008	
21.6	0.000296958	
21.75	0.000312514	
21.9	0.000328687	
22.05	0.000345487	
22.2	0.000362925	
22.35	0.00038101	
22.5	0.000399752	
22.65	0.000419159	
22.8	0.000439237	
22.95	0.000459993	
23.1	0.000481434	
23.25	0.000503562	
23.4	0.000526384	
23.55	0.000549901	
23.7	0.000574115	
23.85	0.000599028	
24	0.000624639	
24.15	0.000650949	
24.3	0.000677956	
24.45	0.000705657	
24.6	0.000734049	
24.75	0.000763128	
24.9	0.00079289	
25.05	0.000823327	
25.2	0.000854435	
25.35	0.000886206	
25.5	0.000918633	
25.65	0.000951706	
25.8	0.000985418	
25.95	0.00101976	
26.1	0.00105472	
26.25	0.00109028	
26.4	0.00112644	
26.55	0.00116319	
26.7	0.00120052	
26.85	0.0012384	
27	0.00127683	
27.15	0.0013158	
27.3	0.00135529	
27.45	0.0013953	
27.6	0.0014358	
27.75	0.00147678	
27.9	0.00151823	
28.05	0.00156015	
28.2	0.0016025	
28.35	0.00164528	
28.5	0.00168848	
28.65	0.00173208	
28.8	0.00177607	
28.95	0.00182043	
29.1	0.00186516	
29.25	0.00191023	
29.4	0.00195564	
29.55	0.00200137	
29.7	0.0020474	
29.85	0.00209373	
30	0.00214035	
30.15	0.00218723	
30.3	0.00223437	
30.45	0.00228175	
30.6	0.00232937	
30.75	0.0023772	
30.9	0.00242525	
31.05	0.00247349	
31.2	0.00252191	
31.35	0.00257051	
31.5	0.00261928	
31.65	0.00266819	
31.8	0.00271724	
31.95	0.00276643	
32.1	0.00281573	
32.25	0.00286515	
32.4	0.00291466	
32.55	0.00296427	
32.7	0.00301395	
32.85	0.00306371	
33	0.00311352	
33.15	0.00316339	
33.3	0.00321331	
33.45	0.00326326	
33.6	0.00331323	
33.75	0.00336322	
33.9	0.00341323	
34.05	0.00346323	
34.2	0.00351323	
34.35	0.00356322	
34.5	0.00361319	
34.65	0.00366312	
34.8	0.00371303	
34.95	0.00376289	
35.1	0.0038127	
35.25	0.00386245	
35.4	0.00391215	
35.55	0.00396177	
35.7	0.00401133	
35.85	0.0040608	
36	0.00411018	
36.15	0.00415947	
36.3	0.00420867	
36.45	0.00425776	
36.6	0.00430674	
36.75	0.00435561	
36.9	0.00440436	
37.05	0.00445299	
37.2	0.00450149	
37.35	0.00454985	
37.5	0.00459808	
37.65	0.00464616	
37.8	0.0046941	
37.95	0.00474189	
38.1	0.00478953	
38.25	0.004837	
38.4	0.00488431	
38.55	0.00493146	
38.7	0.00497844	
38.85	0.00502525	
39	0.00507188	
39.15	0.00511833	
39.3	0.00516459	
39.45	0.00521067	
39.6	0.00525657	
39.75	0.00530227	
39.9	0.00534778	
40.05	0.00539309	
40.2	0.0054382	
40.35	0.00548311	
40.5	0.00552781	
40.65	0.00557231	
40.8	0.0056166	
40.95	0.00566068	
41.1	0.00570455	
41.25	0.00574821	
41.4	0.00579164	
41.55	0.00583486	
41.7	0.00587786	
41.85	0.00592064	
42	0.0059632	
42.15	0.00600553	
42.3	0.00604764	
42.45	0.00608952	
42.6	0.00613117	
42.75	0.0061726	
42.9	0.00621379	
43.05	0.00625476	
43.2	0.00629549	
43.35	0.00633599	
43.5	0.00637626	
43.65	0.00641629	
43.8	0.00645609	
43.95	0.00649566	
44.1	0.00653499	
44.25	0.00657408	
44.4	0.00661294	
44.55	0.00665156	
44.7	0.00668995	
44.85	0.0067281	
45	0.00676601	
45.15	0.00680369	
45.3	0.00684112	
45.45	0.00687833	
45.6	0.00691529	
45.75	0.00695202	
45.9	0.00698851	
46.05	0.00702476	
46.2	0.00706078	
46.35	0.00709657	
46.5	0.00713211	
46.65	0.00716743	
46.8	0.00720251	
46.95	0.00723735	
47.1	0.00727196	
47.25	0.00730634	
47.4	0.00734049	
47.55	0.0073744	
47.7	0.00740808	
47.85	0.00744154	
48	0.00747476	
48.15	0.00750776	
48.3	0.00754052	
48.45	0.00757306	
48.6	0.00760538	
48.75	0.00763747	
48.9	0.00766933	
49.05	0.00770097	
49.2	0.00773239	
49.35	0.00776358	
49.5	0.00779456	
49.65	0.00782531	
49.8	0.00785585	
49.95	0.00788617	
50.1	0.00791627	
50.25	0.00794616	
50.4	0.00797583	
50.55	0.00800529	
50.7	0.00803454	
50.85	0.00806357	
51	0.0080924	
51.15	0.00812102	
51.3	0.00814943	
51.45	0.00817764	
51.6	0.00820564	
51.75	0.00823343	
51.9	0.00826103	
52.05	0.00828842	
52.2	0.00831562	
52.35	0.00834261	
52.5	0.00836941	
52.65	0.00839601	
52.8	0.00842242	
52.95	0.00844863	
53.1	0.00847465	
53.25	0.00850048	
53.4	0.00852612	
53.55	0.00855158	
53.7	0.00857684	
53.85	0.00860192	
54	0.00862682	
54.15	0.00865153	
54.3	0.00867606	
54.45	0.00870041	
54.6	0.00872459	
54.75	0.00874858	
54.9	0.0087724	
55.05	0.00879604	
55.2	0.00881951	
55.35	0.00884281	
55.5	0.00886593	
55.65	0.00888889	
55.8	0.00891167	
55.95	0.00893429	
56.1	0.00895675	
56.25	0.00897904	
56.4	0.00900116	
56.55	0.00902313	
56.7	0.00904493	
56.85	0.00906657	
57	0.00908806	
57.15	0.00910939	
57.3	0.00913056	
57.45	0.00915158	
57.6	0.00917245	
57.75	0.00919316	
57.9	0.00921372	
58.05	0.00923414	
58.2	0.0092544	
58.35	0.00927452	
58.5	0.0092945	
58.65	0.00931433	
58.8	0.00933401	
58.95	0.00935356	
59.1	0.00937296	
59.25	0.00939222	
59.4	0.00941135	
59.55	0.00943033	
59.7	0.00944918	
59.85	0.0094679	
60	0.00948648	
60.15	0.00950493	
60.3	0.00952325	
60.45	0.00954144	
60.6	0.00955949	
60.75	0.00957742	
60.9	0.00959523	
61.05	0.0096129	
61.2	0.00963045	
61.35	0.00964788	
61.5	0.00966519	
61.65	0.00968237	
61.8	0.00969943	
61.95	0.00971638	
62.1	0.0097332	
62.25	0.00974991	
62.4	0.0097665	
62.55	0.00978297	
62.7	0.00979933	
62.85	0.00981558	
63	0.00983171	
63.15	0.00984773	
63.3	0.00986365	
63.45	0.00987945	
63.6	0.00989514	
63.75	0.00991073	
63.9	0.0099262	
64.05	0.00994158	
64.2	0.00995685	
64.35	0.00997201	
64.5	0.00998707	
64.65	0.010002	
64.8	0.0100169	
64.95	0.0100316	
65.1	0.0100463	
65.25	0.0100609	
65.4	0.0100753	
65.55	0.0100897	
65.7	0.010104	
65.85	0.0101181	
66	0.0101322	
66.15	0.0101462	
66.3	0.0101601	
66.45	0.0101739	
66.6	0.0101876	
66.75	0.0102012	
66.9	0.0102147	
67.05	0.0102282	
67.2	0.0102415	
67.35	0.0102548	
67.5	0.010268	
67.65	0.0102811	
67.8	0.0102941	
67.95	0.010307	
68.1	0.0103198	
68.25	0.0103326	
68.4	0.0103453	
68.55	0.0103578	
68.7	0.0103704	
68.85	0.0103828	
69	0.0103951	
69.15	0.0104074	
69.3	0.0104196	
69.45	0.0104317	
69.6	0.0104438	
69.75	0.0104557	
69.9	0.0104676	
70.05	0.0104794	
70.2	0.0104912	
70.35	0.0105028	
70.5	0.0105144	
70.65	0.010526	
70.8	0.0105374	
70.95	0.0105488	
71.1	0.0105601	
71.25	0.0105713	
71.4	0.0105825	
71.55	0.0105936	
71.7	0.0106046	
71.85	0.0106156	
72	0.0106265	
72.15	0.0106373	
72.3	0.0106481	
72.45	0.0106588	
72.6	0.0106695	
72.75	0.01068	
72.9	0.0106905	
73.05	0.010701	
73.2	0.0107114	
73.35	0.0107217	
73.5	0.0107319	
73.65	0.0107421	
73.8	0.0107523	
73.95	0.0107624	
74.1	0.0107724	
74.25	0.0107823	
74.4	0.0107922	
74.55	0.0108021	
74.7	0.0108119	
74.85	0.0108216	
75	0.0108313	
75.15	0.0108409	
75.3	0.0108504	
75.45	0.0108599	
75.6	0.0108694	
75.75	0.0108788	
75.9	0.0108881	
76.05	0.0108974	
76.2	0.0109067	
76.35	0.0109158	
76.5	0.010925	
76.65	0.010934	
76.8	0.0109431	
76.95	0.010952	
77.1	0.010961	
77.25	0.0109698	
77.4	0.0109787	
77.55	0.0109874	
77.7	0.0109962	
77.85	0.0110048	
78	0.0110135	
78.15	0.0110221	
78.3	0.0110306	
78.45	0.0110391	
78.6	0.0110475	
78.75	0.0110559	
78.9	0.0110643	
79.05	0.0110726	
79.2	0.0110808	
79.35	0.011089	
79.5	0.0110972	
79.65	0.0111053	
79.8	0.0111134	
79.95	0.0111214	
80.1	0.0111294	
80.25	0.0111374	
80.4	0.0111453	
80.55	0.0111531	
80.7	0.011161	
80.85	0.0111687	
81	0.0111765	
81.15	0.0111842	
81.3	0.0111918	
81.45	0.0111994	
81.6	0.011207	
81.75	0.0112146	
81.9	0.0112221	
82.05	0.0112295	
82.2	0.0112369	
82.35	0.0112443	
82.5	0.0112517	
82.65	0.011259	
82.8	0.0112662	
82.95	0.0112735	
83.1	0.0112806	
83.25	0.0112878	
83.4	0.0112949	
83.55	0.011302	
83.7	0.0113091	
83.85	0.0113161	
84	0.011323	
84.15	0.01133	
84.3	0.0113369	
84.45	0.0113437	
84.6	0.0113506	
84.75	0.0113574	
84.9	0.0113642	
85.05	0.0113709	
85.2	0.0113776	
85.35	0.0113842	
85.5	0.0113909	
85.65	0.0113975	
85.8	0.011404	
85.95	0.0114106	
86.1	0.0114171	
86.25	0.0114236	
86.4	0.01143	
86.55	0.0114364	
86.7	0.0114428	
86.85	0.0114491	
87	0.0114554	
87.15	0.0114617	
87.3	0.011468	
87.45	0.0114742	
87.6	0.0114804	
87.75	0.0114866	
87.9	0.0114927	
88.05	0.0114988	
88.2	0.0115049	
88.35	0.0115109	
88.5	0.0115169	
88.65	0.0115229	
88.8	0.0115289	
88.95	0.0115348	
89.1	0.0115407	
89.25	0.0115466	
89.4	0.0115525	
89.55	0.0115583	
89.7	0.0115641	
89.85	0.0115698	
90	0.0115756	
90.15	0.0115813	
90.3	0.011587	
90.45	0.0115927	
90.6	0.0115983	
90.75	0.0116039	
90.9	0.0116095	
91.05	0.011615	
91.2	0.0116206	
91.35	0.0116261	
91.5	0.0116316	
91.65	0.011637	
91.8	0.0116425	
91.95	0.0116479	
92.1	0.0116533	
92.25	0.0116586	
92.4	0.011664	
92.55	0.0116693	
92.7	0.0116746	
92.85	0.0116798	
93	0.0116851	
