[GLUe]_0	Values[V_OXPHOS].InitialValue	(OXPHOS).Flux
0.5	0	0
0.5	0.035	0.0267817
0.5	0.07	0.0534728
0.5	0.105	0.0800768
0.5	0.14	0.106596
0.5	0.175	0.133034
0.5	0.21	0.159393
0.5	0.245	0.185674
0.5	0.28	0.21188
0.5	0.315	0.238013
0.5	0.35	0.264073
0.5	0.385	0.290063
0.5	0.42	0.315984
0.5	0.455	0.341836
0.5	0.49	0.367621
0.5	0.525	0.393341
0.5	0.56	0.418995
0.5	0.595	0.444585
0.5	0.63	0.470111
0.5	0.665	0.495575
0.5	0.7	0.520976
0.5	0.735	0.546316
0.5	0.77	0.571595
0.5	0.805	0.596813
0.5	0.84	0.621971
0.5	0.875	0.64707
0.5	0.91	0.67211
0.5	0.945	0.697091
0.5	0.98	0.722014
0.5	1.015	0.746878
0.5	1.05	0.771685
0.5	1.085	0.796435
0.5	1.12	0.821127
0.5	1.155	0.845762
0.5	1.19	0.870341
0.5	1.225	0.894862
0.5	1.26	0.919328
0.5	1.295	0.943738
0.5	1.33	0.968091
0.5	1.365	0.992389
0.5	1.4	1.01663
0.5	1.435	1.04082
0.5	1.47	1.06495
0.5	1.505	1.08902
0.5	1.54	1.11304
0.5	1.575	1.13701
0.5	1.61	1.16092
0.5	1.645	1.18478
0.5	1.68	1.20858
0.5	1.715	1.23232
0.5	1.75	1.25601
0.5	1.785	1.27965
0.5	1.82	1.30323
0.5	1.855	1.32676
0.5	1.89	1.35023
0.5	1.925	1.37365
0.5	1.96	1.39701
0.5	1.995	1.42032
0.5	2.03	1.44358
0.5	2.065	1.46678
0.5	2.1	1.48992
0.5	2.135	1.51301
0.5	2.17	1.53605
0.5	2.205	1.55903
0.5	2.24	1.58196
0.5	2.275	1.60484
0.5	2.31	1.62766
0.5	2.345	1.65042
0.5	2.38	1.67314
0.5	2.415	1.69579
0.5	2.45	1.7184
0.5	2.485	1.74095
0.5	2.52	1.76344
0.5	2.555	1.78588
0.5	2.59	1.80827
0.5	2.625	1.8306
0.5	2.66	1.85288
0.5	2.695	1.8751
0.5	2.73	1.89727
0.5	2.765	1.91938
0.5	2.8	1.94144
0.5	2.835	1.96345
0.5	2.87	1.9854
0.5	2.905	2.0073
0.5	2.94	2.02914
0.5	2.975	2.05093
0.5	3.01	2.07267
0.5	3.045	2.09435
0.5	3.08	2.11597
0.5	3.115	2.13754
0.5	3.15	2.15906
0.5	3.185	2.18052
0.5	3.22	2.20193
0.5	3.255	2.22328
0.5	3.29	2.24458
0.5	3.325	2.26583
0.5	3.36	2.28702
0.5	3.395	2.30816
0.5	3.43	2.32924
0.5	3.465	2.35026
0.5	3.5	2.37124
0.5	3.535	2.39215
0.5	3.57	2.41302
0.5	3.605	2.43383
0.5	3.64	2.45458
0.5	3.675	2.47528
0.5	3.71	2.49593
0.5	3.745	2.51652
0.5	3.78	2.53705
0.5	3.815	2.55754
0.5	3.85	2.57796
0.5	3.885	2.59834
0.5	3.92	2.61865
0.5	3.955	2.63892
0.5	3.99	2.65913
0.5	4.025	2.67928
0.5	4.06	2.69938
0.5	4.095	2.71943
0.5	4.13	2.73942
0.5	4.165	2.75935
0.5	4.2	2.77924
0.5	4.235	2.79906
0.5	4.27	2.81884
0.5	4.305	2.83855
0.5	4.34	2.85822
0.5	4.375	2.87783
0.5	4.41	2.89738
0.5	4.445	2.91688
0.5	4.48	2.93633
0.5	4.515	2.95572
0.5	4.55	2.97505
0.5	4.585	2.99433
0.5	4.62	3.01356
0.5	4.655	3.03273
0.5	4.69	3.05185
0.5	4.725	3.07092
0.5	4.76	3.08993
0.5	4.795	3.10888
0.5	4.83	3.12778
0.5	4.865	3.14663
0.5	4.9	3.16542
0.5	4.935	3.18415
0.5	4.97	3.20284
0.5	5.005	3.22147
0.5	5.04	3.24004
0.5	5.075	3.25856
0.5	5.11	3.27702
0.5	5.145	3.29543
0.5	5.18	3.31379
0.5	5.215	3.33209
0.5	5.25	3.35034
0.5	5.285	3.36853
0.5	5.32	3.38667
0.5	5.355	3.40476
0.5	5.39	3.42279
0.5	5.425	3.44077
0.5	5.46	3.45869
0.5	5.495	3.47656
0.5	5.53	3.49437
0.5	5.565	3.51213
0.5	5.6	3.52984
0.5	5.635	3.54749
0.5	5.67	3.56509
0.5	5.705	3.58263
0.5	5.74	3.60012
0.5	5.775	3.61756
0.5	5.81	3.63494
0.5	5.845	3.65226
0.5	5.88	3.66954
0.5	5.915	3.68676
0.5	5.95	3.70392
0.5	5.985	3.72104
0.5	6.02	3.7381
0.5	6.055	3.7551
0.5	6.09	3.77205
0.5	6.125	3.78895
0.5	6.16	3.80579
0.5	6.195	3.82258
0.5	6.23	3.83932
0.5	6.265	3.856
0.5	6.3	3.87263
0.5	6.335	3.88921
0.5	6.37	3.90573
0.5	6.405	3.9222
0.5	6.44	3.93861
0.5	6.475	3.95497
0.5	6.51	3.97128
0.5	6.545	3.98754
0.5	6.58	4.00374
0.5	6.615	4.01989
0.5	6.65	4.03598
0.5	6.685	4.05202
0.5	6.72	4.06801
0.5	6.755	4.08395
0.5	6.79	4.09983
0.5	6.825	4.11566
0.5	6.86	4.13143
0.5	6.895	4.14715
0.5	6.93	4.16282
0.5	6.965	4.17844
0.5	7	4.194
0.5	7.035	4.20951
0.5	7.07	4.22497
0.5	7.105	4.24038
0.5	7.14	4.25573
0.5	7.175	4.27103
0.5	7.21	4.28627
0.5	7.245	4.30147
0.5	7.28	4.31661
0.5	7.315	4.3317
0.5	7.35	4.34673
0.5	7.385	4.36171
0.5	7.42	4.37664
0.5	7.455	4.39152
0.5	7.49	4.40635
0.5	7.525	4.42112
0.5	7.56	4.43584
0.5	7.595	4.45051
0.5	7.63	4.46512
0.5	7.665	4.47968
0.5	7.7	4.49419
0.5	7.735	4.50865
0.5	7.77	4.52306
0.5	7.805	4.53741
0.5	7.84	4.55171
0.5	7.875	4.56596
0.5	7.91	4.58016
0.5	7.945	4.5943
0.5	7.98	4.60839
0.5	8.015	4.62243
0.5	8.05	4.63642
0.5	8.085	4.65036
0.5	8.12	4.66424
0.5	8.155	4.67807
0.5	8.19	4.69185
0.5	8.225	4.70558
0.5	8.26	4.71926
0.5	8.295	4.73288
