rxn_id,lb
R_MAR09034,5.0
R_MAR09035,0.005
R_MAR09036,0.005
R_MAR09038,0.05
R_MAR09039,0.05
R_MAR09040,0.05
R_MAR09041,0.05
R_MAR09042,0.05
R_MAR09043,0.05
R_MAR09044,0.05
R_MAR09045,0.05
R_MAR09046,0.05
R_MAR09048,1000.0
R_MAR09061,0.05
R_MAR09062,0.05
R_MAR09063,0.5
R_MAR09064,0.05
R_MAR09065,0.05
R_MAR09066,0.05
R_MAR09067,0.05
R_MAR09069,0.05
R_MAR09070,0.05
R_MAR09072,1000.0
R_MAR09076,1000.0
R_MAR09083,0.005
R_MAR09109,0.005
R_MAR09143,0.005
R_MAR09144,0.005
R_MAR09145,0.005
R_MAR09146,0.005
R_MAR09151,0.005
R_MAR09153,0.005
R_MAR09159,0.005
R_MAR09167,0.005
R_MAR09269,0.005
R_MAR09361,0.005
R_MAR09363,0.05
R_MAR09378,0.005
R_MAR09404,0.005
