Species	Concentration	Concentration Rate (mol/(l*s))	Particle Number	Particle Number Rate (1/s)	Transition Time (s)
GLU	2.61044	0	1.57204e+24	0	0.10608
G6P	0.477028	-4.63577e-14	2.87273e+23	-2.79173e+10	0.0193849
F6P	0.144267	1.83719e-11	8.68796e+22	1.10638e+13	0.00586256
FBP	1.83312	-1.81687e-11	1.10393e+24	-1.09414e+13	0.0744923
DHAP	0.0430548	-1.42639e-13	2.59282e+22	-8.58993e+10	0.00174961
GAP	0.00186871	-1.64035e-13	1.12536e+21	-9.87842e+10	3.79692e-05
BPG	0.0380125	7.13196e-15	2.28916e+22	4.29497e+09	0.000772355
PG3	0.709368	0	4.27191e+23	0	0.0144133
PG2	0.0411204	-2.49619e-13	2.47633e+22	-1.50324e+11	0.000835502
PEP	0.223729	2.63883e-13	1.34733e+23	1.58914e+11	0.00454582
PYR	0.450769	-3.92258e-14	2.7146e+23	-2.36223e+10	0.00915893
LAC	12.5244	7.13196e-15	7.54239e+24	4.29497e+09	0.278179
ATP	2.98464	1.83529e-11	1.79739e+24	1.10524e+13	0.0184997
ADP	0.0332255	-1.84338e-11	2.00088e+22	-1.11011e+13	0.000205941
AMP	0.000369871	8.08624e-14	2.22741e+20	4.86965e+10	4.57408e+09
P	2.07786	1.42639e-14	1.25132e+24	8.58993e+09	0.0185327
NADH	0.00242897	-1.78299e-14	1.46276e+21	-1.07374e+10	4.9353e-05
NAD	0.547301	1.78299e-14	3.29592e+23	1.07374e+10	0.0111203
O2	0.0582901	1.78299e-15	3.51031e+22	1.07374e+09	0.00463339
