Reaction	Flux	Flux (intensive) (mol/(l*s))	Particle Flux (#/s)
GLUT	24.6082	nan	1.48194e+25
HK	24.6082	nan	1.48194e+25
HPI	24.6082	24.6082	1.48194e+25
PFK	24.6082	nan	1.48194e+25
ALD	24.6082	24.6082	1.48194e+25
TPI	24.6082	24.6082	1.48194e+25
GAPDH	49.2163	nan	2.96388e+25
PGK	49.2163	49.2163	2.96388e+25
PGM	49.2163	49.2163	2.96388e+25
ENO	49.2163	49.2163	2.96388e+25
PK	49.2163	49.2163	2.96388e+25
LDH	45.0229	45.0229	2.71134e+25
LACT	45.0229	nan	2.71134e+25
OXPHOS	4.19348	4.19348	2.52537e+24
ATPase	112.118	nan	6.75193e+25
AK	-8.08624e-14	-8.08624e-14	-4.86965e+10
OXYT	12.5804	nan	7.57611e+24
